obu-ramp-back-1        | [11.0] Ramp_Back RAMP_PLATOON: leader=111 gap=8.1 desired=10.5 leader_spd=5.25 follow_spd=4.25
obu-ramp-merge-5-1     | [10.3] Ramp_Merge_5 RAMP_PLATOON: leader=110 gap=8.6 desired=10.5 leader_spd=4.75 follow_spd=3.75
obu-ramp-back-1        | [11.0] Ramp_Back CAR_FOLLOW: sid=111 gap=19.0 reason=same_lane_cam follow_spd=4.45 emergency=False
obu-ramp-back-1        | [11.2] Ramp_Back RAMP_PLATOON: leader=111 gap=7.6 desired=10.5 leader_spd=5.25 follow_spd=4.25
obu-ramp-back-1        | [11.2] Ramp_Back CAR_FOLLOW: sid=111 gap=17.7 reason=same_lane_cam follow_spd=3.80 emergency=False
obu-ramp-merge-4-1     | [12.7] Ramp_Merge_4 MERGE_DECISION: eta=22.29 dist=105.9 lead=106(eta=13.45 dist=143.6) host=None(eta=None dist=None) min_eta=14.95 max_eta=None gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-merge-car-1        | [0.6] Merge_Car MERGE_DECISION: eta=12.26 dist=97.6 lead=103(eta=10.88 dist=108.3) host=104(eta=15.32 dist=133.7) min_eta=12.38 max_eta=10.62 gap_possible=False ahead=False behind=False clearance=True slot=False entry_speed=True -> can_merge=False
obu-merge-car-1        | [0.9] Merge_Car MERGE_DECISION: eta=12.53 dist=96.6 lead=103(eta=9.84 dist=103.5) host=104(eta=17.34 dist=130.3) min_eta=11.34 max_eta=12.64 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-4-1     | [12.8] Ramp_Merge_4 MERGE_DECISION: eta=22.29 dist=105.9 lead=106(eta=13.45 dist=143.3) host=None(eta=None dist=None) min_eta=14.95 max_eta=None gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-2-1     | [3.9] Ramp_Merge_2 MERGE_DECISION: eta=12.27 dist=101.8 lead=103(eta=7.03 dist=106.0) host=104(eta=15.61 dist=129.3) min_eta=8.53 max_eta=10.91 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-2-1     | [4.1] Ramp_Merge_2 MERGE_DECISION: eta=12.21 dist=101.3 lead=103(eta=6.73 dist=103.9) host=104(eta=15.30 dist=126.0) min_eta=8.23 max_eta=10.60 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-back-1        | [11.3] Ramp_Back RAMP_PLATOON: leader=111 gap=7.9 desired=10.5 leader_spd=5.00 follow_spd=4.00
obu-merge-car-1        | [1.2] Merge_Car MERGE_DECISION: eta=12.13 dist=95.7 lead=103(eta=9.64 dist=100.4) host=104(eta=17.04 dist=126.4) min_eta=11.14 max_eta=12.34 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-3-1     | [6.1] Ramp_Merge_3 RAMP_PLATOON: leader=108 gap=10.4 desired=10.5 leader_spd=8.30 follow_spd=7.30
obu-ramp-merge-4-1     | [13.0] Ramp_Merge_4 MERGE_DECISION: eta=21.47 dist=105.9 lead=106(eta=12.95 dist=140.2) host=None(eta=None dist=None) min_eta=14.45 max_eta=None gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-3-1     | [6.3] Ramp_Merge_3 MERGE_DECISION: eta=14.50 dist=105.9 lead=104(eta=13.88 dist=135.6) host=105(eta=15.86 dist=152.2) min_eta=15.38 max_eta=11.16 gap_possible=False ahead=False behind=False clearance=True slot=False entry_speed=True -> can_merge=False
obu-ramp-merge-3-1     | [6.4] Ramp_Merge_3 MERGE_DECISION: eta=14.50 dist=105.9 lead=104(eta=13.88 dist=135.2) host=105(eta=15.86 dist=151.7) min_eta=15.38 max_eta=11.16 gap_possible=False ahead=False behind=False clearance=True slot=False entry_speed=True -> can_merge=False
obu-ramp-merge-4-1     | [13.2] Ramp_Merge_4 MERGE_DECISION: eta=21.47 dist=105.9 lead=106(eta=12.95 dist=139.5) host=None(eta=None dist=None) min_eta=14.45 max_eta=None gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-merge-car-1        | [1.4] Merge_Car MERGE_DECISION: eta=12.03 dist=94.9 lead=103(eta=9.64 dist=98.9) host=104(eta=17.04 dist=124.9) min_eta=11.14 max_eta=12.34 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-back-1        | [11.3] Ramp_Back CAR_FOLLOW: sid=111 gap=18.6 reason=same_lane_cam follow_spd=4.20 emergency=False
obu-merge-car-1        | [1.5] Merge_Car MERGE_DECISION: eta=11.96 dist=94.5 lead=103(eta=9.44 dist=97.3) host=104(eta=16.74 dist=122.5) min_eta=10.94 max_eta=12.04 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-back-1        | [11.5] Ramp_Back RAMP_PLATOON: leader=111 gap=7.4 desired=10.5 leader_spd=5.00 follow_spd=4.00
obu-ramp-merge-2-1     | [4.2] Ramp_Merge_2 MERGE_DECISION: eta=12.18 dist=101.1 lead=103(eta=6.53 dist=102.7) host=104(eta=15.30 dist=124.4) min_eta=8.03 max_eta=10.60 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-back-1        | [11.5] Ramp_Back CAR_FOLLOW: sid=111 gap=17.3 reason=same_lane_cam follow_spd=3.56 emergency=False
obu-ramp-merge-2-1     | [4.5] Ramp_Merge_2 MERGE_DECISION: eta=12.09 dist=100.4 lead=103(eta=6.43 dist=100.6) host=104(eta=15.30 dist=122.0) min_eta=7.93 max_eta=10.60 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-merge-car-1        | [1.7] Merge_Car MERGE_DECISION: eta=11.86 dist=93.7 lead=103(eta=9.14 dist=94.6) host=104(eta=16.84 dist=118.9) min_eta=10.64 max_eta=12.14 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-2-1     | [4.7] Ramp_Merge_2 MERGE_DECISION: eta=12.02 dist=99.8 lead=103(eta=6.13 dist=98.6) host=104(eta=15.12 dist=119.2) min_eta=7.63 max_eta=10.42 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-2-1     | [4.9] Ramp_Merge_2 MERGE_DECISION: eta=11.93 dist=99.0 lead=103(eta=5.73 dist=96.5) host=104(eta=14.80 dist=116.0) min_eta=7.23 max_eta=10.10 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-4-1     | [13.5] Ramp_Merge_4 MERGE_DECISION: eta=20.70 dist=105.8 lead=106(eta=12.65 dist=136.9) host=None(eta=None dist=None) min_eta=14.15 max_eta=None gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-merge-car-1        | [2.0] Merge_Car MERGE_DECISION: eta=11.72 dist=92.6 lead=103(eta=8.84 dist=91.2) host=104(eta=16.64 dist=115.5) min_eta=10.34 max_eta=11.94 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-merge-car-1        | [2.3] Merge_Car MERGE_DECISION: eta=11.58 dist=91.5 lead=103(eta=8.54 dist=87.9) host=105(eta=19.96 dist=132.5) min_eta=10.04 max_eta=15.26 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-merge-car-1        | [2.4] Merge_Car MERGE_DECISION: eta=11.53 dist=91.1 lead=103(eta=8.54 dist=87.2) host=105(eta=19.96 dist=131.7) min_eta=10.04 max_eta=15.26 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-merge-car-1        | [2.7] Merge_Car MERGE_DECISION: eta=11.39 dist=89.9 lead=103(eta=8.14 dist=83.7) host=104(eta=16.27 dist=107.1) min_eta=9.64 max_eta=11.57 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-3-1     | [6.6] Ramp_Merge_3 MERGE_DECISION: eta=14.98 dist=105.6 lead=104(eta=13.60 dist=132.9) host=105(eta=15.56 dist=148.8) min_eta=15.10 max_eta=10.86 gap_possible=False ahead=False behind=False clearance=True slot=False entry_speed=True -> can_merge=False
obu-merge-car-1        | [2.9] Merge_Car MERGE_DECISION: eta=11.27 dist=89.0 lead=103(eta=7.94 dist=81.6) host=104(eta=16.13 dist=104.2) min_eta=9.44 max_eta=11.43 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-merge-car-1        | [3.0] Merge_Car MERGE_DECISION: eta=11.21 dist=88.6 lead=103(eta=7.94 dist=80.8) host=104(eta=16.13 dist=103.4) min_eta=9.44 max_eta=11.43 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-2-1     | [5.2] Ramp_Merge_2 MERGE_DECISION: eta=11.80 dist=97.9 lead=103(eta=5.53 dist=94.2) host=104(eta=14.80 dist=112.8) min_eta=7.03 max_eta=10.10 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-4-1     | [13.7] Ramp_Merge_4 MERGE_DECISION: eta=20.65 dist=105.5 lead=106(eta=12.45 dist=135.1) host=None(eta=None dist=None) min_eta=13.95 max_eta=None gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-3-1     | [6.7] Ramp_Merge_3 MERGE_DECISION: eta=14.96 dist=105.5 lead=104(eta=13.60 dist=132.3) host=105(eta=15.36 dist=147.1) min_eta=15.10 max_eta=10.66 gap_possible=False ahead=False behind=False clearance=True slot=False entry_speed=True -> can_merge=False
